occurrenceID,type,basisOfRecord,occurrenceRemarks,individualCount,sex,lifeStage,behavior,occurrenceStatus,organismID,eventID,samplingProtocol,eventDate,eventRemarks,locationID,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,identifiedBy,dateIdentified,identificationRemarks,identificationVerificationStatus,taxonID,scientificName,kingdom
f6fbe614-ec99-4f14-a0c3-07dd637d6839,Event,MachineObservation,,2,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-12T01:36:00Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:51:53Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
f94a6d77-2573-4a8c-91ba-8879bc78b0bb,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-12T01:56:46Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:52:21Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
f977d32b-fbd4-4bfa-9cca-8764ba17da38,Event,MachineObservation,,7,,adult,,present,,6b1199ac-e6e4-4eb4-a625-6ee8f9db09f1,"camera trap (motion detection)",2020-06-05T21:04:53Z,"tags: boven de stroom",91d9abdd-da56-49a0-8c07-fa6305f39d6c,"B_ML_val 05_molenkreek",,51.283,3.567,WGS84,"Wouter Franceus",2020-07-09T08:21:40Z,"classification method: human",,DGP6,"Anas platyrhynchos",Animalia
fb7a2022-1e29-4850-9d49-34f6e3f5fa0f,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-13T20:20:40Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:55:53Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
fcfddc20-8941-4035-8f03-1f84595029e1,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-08T20:04:25Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:29:15Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
fd04e13a-90ec-48cb-b50a-3afc988e9a54,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-26T02:22:55Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T11:14:23Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
fd3cdc9c-24fc-4236-895e-dd71b11d45b8,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-10T03:15:08Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:38:54Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
fde327cc-a6c1-4442-9ebf-e5f1edb385ad,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-27T03:40:16Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T11:15:52Z,"classification method: human",,DGP6,"Anas platyrhynchos",Animalia
feacf78f-0a95-4e3e-9923-213bf6ceedd1,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-06T02:32:09Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:22:21Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
fefe4ce2-7458-4da2-8d50-d26a742a09bf,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-22T20:17:01Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T10:26:59Z,"classification method: human",,DGP6,"Anas platyrhynchos",Animalia
