"occurrenceID","datasetID","type","modified","basisOfRecord","eventID","year","month","day","eventTime","eventDate","decimalLatitude","decimalLongitude","fieldNotes","scientificName","scientificNameID","vernacularName","lifeStage","sex"
"DDU2005_emp_a_f_02:deployment:00062","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,4,"6:04:58","2005-11-04T6:04:58",-66.366,141.752,"location_quality= A","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00063","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,4,"6:27:29","2005-11-04T6:27:29",-66.363,141.776,"location_quality= 3","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00064","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,4,"6:27:29","2005-11-04T6:27:29",-66.36,141.766,"location_quality= A","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00065","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,4,"7:43:26","2005-11-04T7:43:26",-66.366,141.772,"location_quality= B","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00066","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,4,"7:47:48","2005-11-04T7:47:48",-66.367,141.862,"location_quality= 3","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00067","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,4,"8:10:18","2005-11-04T8:10:18",-66.359,141.795,"location_quality= A","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00068","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,4,"8:10:37","2005-11-04T8:10:37",-66.351,141.75,"location_quality= 3","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00069","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,4,"9:23:25","2005-11-04T9:23:25",-66.374,141.806,"location_quality= A","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00070","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,4,"9:50:52","2005-11-04T9:50:52",-66.371,141.808,"location_quality= Z","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00071","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,5,"2:31:54","2005-11-05T2:31:54",-66.379,141.62,"location_quality= 1","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00072","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,5,"2:31:54","2005-11-05T2:31:54",-66.375,141.721,"location_quality= 1","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00073","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,5,"4:13:08","2005-11-05T4:13:08",-66.359,141.686,"location_quality= A","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00074","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,5,"4:37:13","2005-11-05T4:37:13",-66.385,141.75,"location_quality= A","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00075","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,5,"6:05:39","2005-11-05T6:05:39",-66.421,141.954,"location_quality= 2","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00076","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,5,"6:19:11","2005-11-05T6:19:11",-66.358,141.767,"location_quality= A","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00077","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,5,"7:32:26","2005-11-05T7:32:26",-66.369,141.828,"location_quality= A","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00078","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,5,"7:42:48","2005-11-05T7:42:48",-66.372,141.86,"location_quality= B","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
